ID,area_,bounds
-7040,275657966579.92535,"(-70.0, 39.99999999999999, -59.995, 50.005)"
-7050,590056387785.9153,"(-70.0, 49.99999999999999, -59.995, 60.00500000000001)"
-7060,180232368602.2012,"(-70.0, 59.99999999999999, -59.995, 70.005)"
-7070,88255107511.56673,"(-70.0, 70.0, -59.995, 80.005)"
-60-60,8449058625.099998,"(-59.99999999999999, -59.99999999999999, -49.995, -49.995)"
-60-40,477178971295.14136,"(-59.99999999999999, -40.00000000000001, -49.995, -29.994999999999997)"
-60-30,1121415654785.968,"(-59.99999999999999, -29.999999999999993, -49.995, -19.994999999999997)"
-60-20,1196406153787.7126,"(-59.99999999999999, -20.0, -49.995, -9.995)"
-60-10,1225583066084.2522,"(-59.99999999999999, -10.0, -49.995, 0.004999999999999999)"
-600,695272204437.3191,"(-59.99999999999999, 0.0, -49.995, 10.005)"
-6010,447983054.3003219,"(-59.99999999999999, 10.0, -49.995, 20.005)"
-6040,99863476336.22751,"(-59.99999999999999, 39.99999999999999, -49.995, 50.005)"
-6050,107105035207.78688,"(-59.99999999999999, 49.99999999999999, -49.995, 60.00500000000001)"
-6060,79659233200.09969,"(-59.99999999999999, 59.99999999999999, -49.995, 70.005)"
-6070,219871555417.63333,"(-59.99999999999999, 70.0, -49.995, 80.005)"
-50-30,453078971637.86163,"(-49.99999999999999, -29.999999999999996, -39.995, -19.994999999999997)"
-50-20,1196154100538.199,"(-50.0, -20.0, -39.995, -9.995)"
-50-10,1021759548665.9165,"(-49.99999999999999, -10.0, -39.995, 0.005)"
-500,2039589387.6094992,"(-50.0, 0.0, -39.99499999999999, 10.005)"
-5050,1680135811.871058,"(-50.0, 49.99999999999999, -39.995, 60.00500000000001)"
-5060,431264553387.446,"(-50.0, 59.99999999999999, -39.995, 70.005)"
-5070,318429605661.77325,"(-50.0, 70.0, -39.995, 80.005)"
-40-20,159653941698.10403,"(-40.0, -20.0, -29.994999999999997, -9.995)"
-40-10,340040970591.306,"(-40.00000000000001, -10.0, -29.995000000000005, 0.004999999999999999)"
-4030,201744227.95084363,"(-40.00000000000001, 29.999999999999993, -29.995000000000005, 40.005)"
-4060,153230345552.74078,"(-40.00000000000001, 59.99999999999999, -29.995000000000005, 70.005)"
-4070,318429605661.77277,"(-40.0, 70.0, -29.995000000000005, 80.005)"
-3010,4045300655.7039433,"(-29.999999999999996, 10.0, -19.995, 20.005)"
-3030,2365015286.4497094,"(-29.999999999999993, 29.999999999999993, -19.994999999999997, 40.005)"
-3060,69075313235.14522,"(-29.999999999999993, 59.99999999999999, -19.994999999999997, 70.005)"
-3070,258128338185.99335,"(-29.999999999999993, 70.0, -19.994999999999997, 80.005)"
-200,125425227054.59012,"(-20.0, 0.0, -9.995, 10.005)"
-2010,745109574654.2948,"(-20.0, 10.0, -9.995, 20.005)"
-2020,507680298848.44543,"(-20.0, 19.999999999999996, -9.995, 30.004999999999992)"
-2030,773980496.4189591,"(-20.0, 29.999999999999993, -9.995, 40.005)"
-2050,1603788473.6084843,"(-20.0, 49.99999999999999, -9.995, 60.00500000000001)"
-2060,70377143826.1036,"(-19.999999999999996, 59.99999999999999, -9.995, 70.005)"
-2070,10319404785.139303,"(-20.0, 70.0, -9.995, 80.005)"
-10-20,130932435.33350298,"(-10.0, -20.0, 0.004999999999999999, -9.995)"
-100,614877179894.9136,"(-10.0, 0.0, 0.005, 10.005000000000003)"
-1010,1196377782897.6382,"(-9.999999999999998, 9.999999999999998, 0.004999999999999999, 20.005)"
-1020,1120951193447.1855,"(-10.0, 20.0, 0.004999999999999999, 30.004999999999992)"
-1030,736022044733.3833,"(-10.0, 29.999999999999993, 0.004999999999999999, 40.00500000000001)"
-1040,380926557606.3131,"(-10.0, 39.99999999999999, 0.005, 50.005)"
-1050,288146763788.8359,"(-9.999999999999998, 49.99999999999999, 0.004999999999999999, 60.00500000000001)"
-1060,2807283575.200154,"(-9.999999999999998, 59.99999999999999, 0.004999999999999999, 70.005)"
-1070,467632544.47788376,"(-10.0, 70.0, 0.004999999999999999, 80.005)"
0-10,23996228550.446842,"(0.0, -10.0, 10.005000000000003, 0.005)"
00,594926915621.7623,"(0.0, 0.0, 10.005000000000003, 10.005000000000003)"
010,1196377782897.6387,"(0.0, 10.0, 10.005, 20.005)"
020,1121577258597.1372,"(0.0, 20.0, 10.005000000000003, 30.005)"
030,711265743321.0518,"(0.0, 29.999999999999993, 10.005, 40.005)"
040,635784578843.3599,"(0.0, 40.0, 10.005000000000003, 50.005)"
050,273176514110.65646,"(0.0, 49.99999999999999, 10.005000000000003, 60.00500000000001)"
060,81727238887.62305,"(0.0, 59.99999999999999, 10.005, 70.005)"
10-40,91985028620.07028,"(9.999999999999998, -40.00000000000001, 20.005, -29.995000000000005)"
10-30,568708192969.459,"(9.999999999999998, -29.999999999999993, 20.005, -19.994999999999997)"
10-20,884346264464.733,"(9.999999999999998, -20.0, 20.005, -9.995)"
10-10,1029041126252.5869,"(9.999999999999998, -10.0, 20.005000000000003, 0.004999999999999999)"
100,1234433798559.8103,"(10.0, 0.0, 20.005, 10.005000000000003)"
1010,1196377782897.6394,"(9.999999999999998, 10.0, 20.005000000000003, 20.005)"
1020,1121577258597.1367,"(10.0, 20.0, 20.005, 30.004999999999992)"
1030,271170809371.91727,"(9.999999999999998, 29.999999999999993, 20.005000000000003, 40.00500000000001)"
1040,651598790946.0645,"(9.999999999999998, 39.99999999999999, 20.005, 50.005)"
1050,496178631226.922,"(9.999999999999998, 49.99999999999999, 20.005000000000003, 60.00500000000001)"
1060,356820660393.6528,"(9.999999999999998, 59.99999999999999, 20.005, 70.005)"
1070,40012473811.76683,"(10.0, 70.0, 20.005000000000003, 80.005)"
20-40,374396878550.2773,"(19.999999999999996, -40.00000000000001, 30.004999999999992, -29.994999999999997)"
20-30,1121623467756.128,"(20.0, -29.999999999999993, 30.004999999999992, -19.994999999999997)"
20-20,1196406153787.713,"(20.0, -20.0, 30.005, -9.995)"
20-10,1234443365135.6272,"(20.0, -10.0, 30.004999999999992, 0.004999999999999999)"
200,1234433798559.8098,"(20.0, 0.0, 30.004999999999992, 10.005000000000003)"
2010,1196377782897.6382,"(20.0, 10.0, 30.004999999999992, 20.005)"
2020,1121577258597.1375,"(20.0, 20.0, 30.005, 30.004999999999992)"
2030,383920496006.4434,"(19.999999999999996, 29.999999999999993, 30.004999999999992, 40.005)"
2040,781481174127.5935,"(19.999999999999996, 40.0, 30.004999999999992, 50.005)"
2050,607012996557.2561,"(20.0, 49.99999999999999, 30.005, 60.00500000000001)"
2060,441015495020.4657,"(19.999999999999996, 59.99999999999999, 30.004999999999992, 70.005)"
2070,39670066093.54948,"(19.999999999999996, 70.0, 30.005, 80.005)"
30-40,6862210607.380748,"(29.999999999999993, -40.00000000000001, 40.005, -29.995000000000005)"
30-30,429568491600.4229,"(29.999999999999993, -29.999999999999993, 40.00500000000001, -19.994999999999997)"
30-20,1067019612103.8838,"(29.999999999999993, -20.0, 40.005, -9.995)"
30-10,1186111833948.2207,"(29.999999999999993, -10.0, 40.005, 0.004999999999999999)"
300,1234433798559.8118,"(29.999999999999993, 0.0, 40.005, 10.005)"
3010,1111540594482.8748,"(29.999999999999993, 10.0, 40.005, 20.005)"
3020,896922237551.1344,"(29.999999999999993, 20.0, 40.005, 30.004999999999992)"
3030,733400980483.9293,"(29.999999999999993, 29.999999999999993, 40.00500000000001, 40.005)"
3040,497800739734.1132,"(29.999999999999993, 40.0, 40.005, 50.005)"
3050,706964247358.1158,"(29.999999999999993, 49.99999999999999, 40.005, 60.00500000000001)"
3060,430584426125.4831,"(29.999999999999993, 59.99999999999999, 40.004999999999995, 70.005)"
3070,1509838145.974928,"(29.999999999999993, 70.0, 40.005, 80.005)"
40-30,251102999408.82944,"(40.0, -29.999999999999996, 50.00500000000001, -19.994999999999997)"
40-20,376862972362.8757,"(39.99999999999999, -20.0, 50.00500000000001, -9.995)"
40-10,58515636252.73124,"(40.0, -10.0, 50.00500000000001, 0.005)"
400,941879854728.9891,"(40.0, 0.0, 50.00500000000001, 10.005)"
4010,833560636706.098,"(39.99999999999999, 10.0, 50.00500000000001, 20.005)"
4020,1072638413507.2994,"(40.0, 20.0, 50.00500000000001, 30.005)"
4030,1010330640392.2272,"(40.00000000000001, 29.999999999999996, 50.005, 40.00500000000001)"
4040,845261586752.7175,"(40.0, 40.0, 50.00500000000001, 50.005)"
4050,707147325334.8573,"(40.0, 49.99999999999999, 50.005, 60.00500000000001)"
4060,396323995246.3545,"(39.99999999999999, 59.99999999999999, 50.00500000000001, 70.005)"
50-30,4595771418.711092,"(49.99999999999999, -29.999999999999996, 60.00500000000001, -19.994999999999997)"
50-20,8044178444.417143,"(50.0, -20.0, 60.00500000000001, -9.995)"
50-10,244868036.73961675,"(49.99999999999999, -10.0, 60.00500000000001, 0.005)"
500,12762525245.955826,"(49.99999999999999, 0.0, 60.00500000000001, 10.005)"
5010,321103878318.3473,"(49.99999999999999, 10.0, 60.00500000000001, 20.005)"
5020,812705317995.2766,"(49.99999999999999, 20.0, 60.00500000000001, 30.004999999999992)"
5030,1012306289562.4606,"(49.99999999999999, 29.999999999999993, 60.00500000000001, 40.005)"
5040,872916074735.4054,"(49.99999999999999, 40.0, 60.00500000000001, 50.005)"
5050,707147320664.7236,"(49.99999999999999, 49.99999999999999, 60.00500000000001, 60.00500000000001)"
5060,456329202283.34393,"(49.99999999999999, 59.99999999999999, 60.00500000000001, 70.005)"
5070,61756525503.65356,"(49.99999999999999, 70.0, 60.00500000000001, 80.005)"
60-20,113157547.48881142,"(59.99999999999999, -20.0, 70.005, -9.995)"
6020,594995859605.3319,"(59.99999999999999, 20.0, 70.005, 30.004999999999992)"
6030,1012556322456.8179,"(59.99999999999999, 29.999999999999993, 70.005, 40.005)"
6040,872916074735.4045,"(59.99999999999999, 39.99999999999999, 70.005, 50.005)"
6050,707147325956.7991,"(59.99999999999999, 49.99999999999999, 70.005, 60.00500000000001)"
6060,493869772963.79956,"(59.99999999999999, 59.99999999999999, 70.005, 70.005)"
6070,45291753345.177704,"(59.99999999999999, 70.0, 70.005, 80.005)"
70-10,97986093.02491745,"(70.0, -10.0, 80.005, 0.005)"
700,50133664034.25819,"(70.0, 0.0, 80.005, 10.005000000000003)"
7010,693042792854.9087,"(70.0, 10.0, 80.005, 20.005)"
7020,1083813558133.9086,"(70.0, 20.0, 80.005, 30.005)"
7030,1012556322456.8179,"(70.0, 29.999999999999993, 80.005, 40.00500000000001)"
7040,872916074735.4045,"(70.0, 40.00000000000001, 80.005, 50.00500000000001)"
7050,707147326461.769,"(70.0, 49.99999999999999, 80.005, 60.00500000000001)"
7060,486654242908.95325,"(70.0, 59.99999999999999, 80.005, 70.005)"
7070,81775190203.67487,"(70.0, 70.0, 80.005, 80.005)"
800,61448044151.308205,"(80.0, 0.0, 90.005, 10.005000000000003)"
8010,182684647373.40677,"(80.0, 9.999999999999998, 90.005, 20.005)"
8020,1059677052177.5824,"(80.0, 20.0, 90.005, 30.004999999999992)"
8030,1012556322456.8182,"(80.0, 29.999999999999993, 90.005, 40.00500000000001)"
8040,872916074735.4053,"(80.0, 39.99999999999999, 90.005, 50.005)"
8050,707147326461.769,"(80.0, 49.99999999999999, 90.005, 60.00500000000001)"
8060,520428068113.63684,"(80.0, 59.99999999999999, 90.005, 70.005)"
8070,147428509963.07986,"(80.0, 70.0, 90.005, 80.005)"
90-20,18014028.473974686,"(90.0, -20.0, 100.005, -9.995)"
90-10,6651819936.340509,"(90.0, -10.0, 100.005, 0.005)"
900,170830801318.0421,"(90.0, 0.0, 100.005, 10.005000000000003)"
9010,382200646980.33044,"(90.0, 10.0, 100.005, 20.005)"
9020,1062035967128.8689,"(90.0, 20.0, 100.005, 30.005)"
9030,1012556322456.8185,"(90.0, 29.999999999999993, 100.005, 40.005)"
9040,872916074735.4055,"(90.0, 40.0, 100.005, 50.00500000000001)"
9050,707147326461.7695,"(90.0, 49.99999999999999, 100.005, 60.00500000000001)"
9060,520428118527.5949,"(90.0, 59.99999999999999, 100.005, 70.005)"
9070,231143397770.9581,"(90.0, 70.0, 100.005, 80.005)"
100-20,124482634.51198052,"(100.0, -20.0, 110.00500000000001, -9.995)"
100-10,335231158798.1749,"(100.0, -10.0, 110.00500000000001, 0.004999999999999999)"
1000,273738933750.3841,"(100.0, 0.0, 110.00500000000001, 10.005000000000003)"
10010,853513421658.9901,"(100.0, 10.0, 110.00500000000001, 20.005)"
10020,1071413329417.8804,"(100.0, 20.0, 110.00500000000001, 30.004999999999992)"
10030,1012556322456.8182,"(100.0, 29.999999999999993, 110.00500000000001, 40.00500000000001)"
10040,872916074735.4045,"(100.0, 39.99999999999999, 110.00500000000001, 50.005)"
10050,707147326461.7694,"(100.0, 49.99999999999999, 110.00500000000001, 60.00500000000001)"
10060,520428118527.59436,"(100.0, 59.99999999999999, 110.00500000000001, 70.005)"
10070,250307501923.8603,"(100.0, 70.0, 110.00500000000001, 80.005)"
110-40,223664500779.91592,"(110.0, -40.0, 120.005, -29.994999999999997)"
110-30,616113820301.3135,"(110.00000000000001, -29.999999999999996, 120.005, -19.994999999999997)"
110-20,338017629.9102315,"(110.00000000000001, -20.0, 120.005, -9.995)"
110-10,428109568732.5746,"(110.00000000000001, -10.0, 120.005, 0.004999999999999999)"
1100,434483088556.3379,"(110.00000000000001, 0.0, 120.005, 10.005)"
11010,19439693610.78002,"(110.00000000000001, 10.0, 120.005, 20.005)"
